page,rubric,sub_rubric,complete_rubric,remedy,grade
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",con,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",croc,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",crot-h,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",cupr,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",cycl,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",daph,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",dirc,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",dulc,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",elaps,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",graph,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",guai,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",ham,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Hell,3
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",hep,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",hura,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",hyos,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",ign,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",jug-c,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",kali-br,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",kali-c,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",kali-p,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",kali-s,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",kreos,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",lac-c,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Lach,3
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",led,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",lyc,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",lyss,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",mag-c,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",manc,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",mang,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",merc,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Mez,3
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",mosch,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",naja,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",nat-c,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Nat-m,3
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",nat-p,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",nit-ac,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Nux-m,3
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",nux-v,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",olnd,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",onos,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",op,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",petr,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",ph-ac,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",phos,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Plat,3
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",plb,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Puls,3
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",rhod,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",rhus-t,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",rhus-v,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",ruta,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",sars,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Sep,3
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",sil,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",spong,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",stann,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",stram,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",sul-ac,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",sulph,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",tarent,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",thuj,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Verat,3
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",verb,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",viol-o,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",viol-t,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",zinc,1
1,ABSENT-MINDED,morning,"Mind, ABSENT-MINDED, morning",Guai,1
1,ABSENT-MINDED,morning,"Mind, ABSENT-MINDED, morning",nat-c,1
1,ABSENT-MINDED,morning,"Mind, ABSENT-MINDED, morning",ph-ac,1
1,ABSENT-MINDED,morning,"Mind, ABSENT-MINDED, morning",phos,1
1,ABSENT-MINDED,noon,"Mind, ABSENT-MINDED, noon",Mosch,1
1,ABSENT-MINDED,"menses, during","Mind, ABSENT-MINDED, menses, during",Calc,1
1,ABSENT-MINDED,"periodical attacks of, short lasting","Mind, ABSENT-MINDED, periodical attacks of, short lasting",Fl-ac,1
1,ABSENT-MINDED,"periodical attacks of, short lasting","Mind, ABSENT-MINDED, periodical attacks of, short lasting",nux-m,2
1,ABSENT-MINDED,"reading, while","Mind, ABSENT-MINDED, reading, while",Agn,1
1,ABSENT-MINDED,"reading, while","Mind, ABSENT-MINDED, reading, while",lach,1
1,ABSENT-MINDED,"reading, while","Mind, ABSENT-MINDED, reading, while",nux-m,2
1,ABSENT-MINDED,"reading, while","Mind, ABSENT-MINDED, reading, while",ph-ac,1
1,ABSENT-MINDED,starts when spoken to,"Mind, ABSENT-MINDED, starts when spoken to",Carb-ac,1
1,ABSENT-MINDED,"writing, while","Mind, ABSENT-MINDED, writing, while",Mag-c,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",Acon,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",aloe,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",am-m,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",ant-c,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",arn,2
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",bell,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",bov,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",calc,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",cann-i,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",canth,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",caps,2
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",carl,2
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",caust,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",cham,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",chin,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",cic,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",clem,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",cocc,2
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",con,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",cupr,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",cycl,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",elaps,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",grat,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",ham,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",Hell,3
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",ign,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",ip,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",lil-t,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",mang,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",merc,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",Mez,3
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",mosch,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",mur-ac,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",nat-c,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",nat-m,2
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",nat-p,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",nit-ac,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",Nux-m,3
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",ol-an,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",onos,2
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",op,2
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",phel,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",phos,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",puls,2
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",rheum,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",sabad,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",sars,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",spig,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",stann,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",stram,1
1,"ABSORBED, buried in thought",,"Mind, ABSORBED, buried in thought",Sulph,3
1,"ABSORBED, buried in thought",daytime,"Mind, ABSORBED, buried in thought, daytime",Elaps,1
1,"ABSORBED, buried in thought",morning,"Mind, ABSORBED, buried in thought, morning",Nat-c,2
1,"ABSORBED, buried in thought",morning,"Mind, ABSORBED, buried in thought, morning",nux-v,1
1,"ABSORBED, buried in thought",afternoon,"Mind, ABSORBED, buried in thought, afternoon",Mang,1
1,"ABSORBED, buried in thought",evening,"Mind, ABSORBED, buried in thought, evening",Am-m,1
1,"ABSORBED, buried in thought",evening,"Mind, ABSORBED, buried in thought, evening",sulph,2
1,"ABSORBED, buried in thought",alternating with frivolity,"Mind, ABSORBED, buried in thought, alternating with frivolity",Arg-n,1
1,"ABSORBED, buried in thought",as to what would become of him,"Mind, ABSORBED, buried in thought, as to what would become of him",Nat-m,1
1,"ABSORBED, buried in thought","eating, after","Mind, ABSORBED, buried in thought, eating, after",Aloe,1
1,"ABSORBED, buried in thought","menses, during","Mind, ABSORBED, buried in thought, menses, during",Mur-ac,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",Alum,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",aml-n,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",camph,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",cann-i,2
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",carb-ac,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",caust,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",cic,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",con,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",cycl,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",elaps,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",guai,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",hell,2
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",hyos,2
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",kreos,2
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",laur,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",lyc,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",lyss,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",mez,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",nat-m,2
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",Nux-m,3
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",oena,2
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",onos,2
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",op,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",ph-ac,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",Phos,3
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",plat,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",sabad,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",sec,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",sil,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",stram,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",sulph,2
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",vesp,1
1,ABSTRACTION of mind,,"Mind, ABSTRACTION of mind",visc,2
1,ABSTRACTION of mind,morning,"Mind, ABSTRACTION of mind, morning",Guai,1
1,ABUSIVE,,"Mind, ABUSIVE",Am-c,1
1,ABUSIVE,,"Mind, ABUSIVE",am-m,1
1,ABUSIVE,,"Mind, ABUSIVE",anac,2
1,ABUSIVE,,"Mind, ABUSIVE",bell,2
1,ABUSIVE,,"Mind, ABUSIVE",bor,1
1,ABUSIVE,,"Mind, ABUSIVE",caust,1
1,ABUSIVE,,"Mind, ABUSIVE",con,1
1,ABUSIVE,,"Mind, ABUSIVE",dulc,1
1,ABUSIVE,,"Mind, ABUSIVE",hyos,2
1,ABUSIVE,,"Mind, ABUSIVE",ip,1
1,ABUSIVE,,"Mind, ABUSIVE",lyc,1
1,ABUSIVE,,"Mind, ABUSIVE",lyss,2
1,ABUSIVE,,"Mind, ABUSIVE",mosch,1
1,ABUSIVE,,"Mind, ABUSIVE",nit-ac,1
1,ABUSIVE,,"Mind, ABUSIVE",nux-v,2
1,ABUSIVE,,"Mind, ABUSIVE",petr,2
1,ABUSIVE,,"Mind, ABUSIVE",plb,1
1,ABUSIVE,,"Mind, ABUSIVE",ran-b,1
1,ABUSIVE,,"Mind, ABUSIVE",seneg,2
1,ABUSIVE,,"Mind, ABUSIVE",sep,2
1,ABUSIVE,,"Mind, ABUSIVE",spong,1
1,ABUSIVE,,"Mind, ABUSIVE",stram,1
1,ABUSIVE,,"Mind, ABUSIVE",tub,1
1,ABUSIVE,,"Mind, ABUSIVE",verat,2
1,ABUSIVE,,"Mind, ABUSIVE",viol-t,1
1,ABUSIVE,forenoon,"Mind, ABUSIVE, forenoon",Ran-b,1
1,ABUSIVE,evening,"Mind, ABUSIVE, evening",Am-c,1
1,ABUSIVE,"angry, without being","Mind, ABUSIVE, angry, without being",Dulc,1
1,ABUSIVE,"pains, with the","Mind, ABUSIVE, pains, with the",Cor-r,1
1,ABUSIVE,scolds until the lips are blue and eyes stare and she falls down fainting,"Mind, ABUSIVE, scolds until the lips are blue and eyes stare and she falls down fainting",Mosch,2
1,"ACTIVITY, desires",fruitless,"Mind, ACTIVITY, desires, fruitless",Stann,1
1,ADMONITION agg,,"Mind, ADMONITION agg",Bell,2
1,ADMONITION agg,,"Mind, ADMONITION agg",plat,2
1,AFFECTATION,,"Mind, AFFECTATION",Stram,2
1,AFFECTIONATE,,"Mind, AFFECTIONATE",Acon,1
1,AFFECTIONATE,,"Mind, AFFECTIONATE",anac,1
1,AFFECTIONATE,,"Mind, AFFECTIONATE",ant-c,1
1,AFFECTIONATE,,"Mind, AFFECTIONATE",bor,1
1,AFFECTIONATE,,"Mind, AFFECTIONATE",carb-an,1
1,AFFECTIONATE,,"Mind, AFFECTIONATE",carb-v,1
1,AFFECTIONATE,,"Mind, AFFECTIONATE",coff,1
1,AFFECTIONATE,,"Mind, AFFECTIONATE",croc,2
1,AFFECTIONATE,,"Mind, AFFECTIONATE",hura,1
1,AFFECTIONATE,,"Mind, AFFECTIONATE",ign,2
1,AFFECTIONATE,,"Mind, AFFECTIONATE",nat-m,2
1,AFFECTIONATE,,"Mind, AFFECTIONATE",nux-v,2
1,AFFECTIONATE,,"Mind, AFFECTIONATE",ox-ac,1
1,AFFECTIONATE,,"Mind, AFFECTIONATE",par,1
1,AFFECTIONATE,,"Mind, AFFECTIONATE",phos,1
1,AFFECTIONATE,,"Mind, AFFECTIONATE",plat,1
1,AFFECTIONATE,,"Mind, AFFECTIONATE",puls,2
1,AFFECTIONATE,,"Mind, AFFECTIONATE",seneg,1
1,AFFECTIONATE,,"Mind, AFFECTIONATE",verat,1
2,"AMUSEMENT, averse to",,"Mind, AMUSEMENT, averse to",Bar-c,1
2,"AMUSEMENT, averse to",,"Mind, AMUSEMENT, averse to",lil-t,1
2,"AMUSEMENT, averse to",,"Mind, AMUSEMENT, averse to",meny,1
2,"AMUSEMENT, averse to",,"Mind, AMUSEMENT, averse to",olnd,1
2,"AMUSEMENT, averse to",,"Mind, AMUSEMENT, averse to",sulph,1
2,"AMUSEMENT, averse to",desire for,"Mind, AMUSEMENT, averse to, desire for",Lach,2
2,"AMUSEMENT, averse to",desire for,"Mind, AMUSEMENT, averse to, desire for",pip-m,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",Acon,3
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",act-sp,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",aesc,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",agar,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",agn,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",all-c,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",aloe,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",am-c,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",ambr,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",Anac,3
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",apis,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",arg-m,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",arg-n,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",arn,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",ars-i,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",Ars,3
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",asar,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",aster,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",atro,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",Aur,3
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",bar-c,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",bar-m,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",bell,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",Bry,3
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",bufo,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",cact,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",calad,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",calc-p,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",calc-s,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",calc,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",cann-s,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",canth,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",caps,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",carb-an,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",carb-s,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",carb-v,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",carl,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",caust,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",Cham,3
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",chel,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",chin-a,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",chin,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",chlor,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",cimic,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",cinnb,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",clem,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",cocc,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",coff,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",coloc,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",con,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",cop,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",croc,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",crot-t,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",cur,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",cycl,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",cypr,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",dig,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",dros,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",dulc,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",elaps,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",eupi,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",ferr-ar,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",ferr-i,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",ferr-p,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",ferr,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",fl-ac,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",gels,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",gran,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",graph,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",ham,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",hell,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",Hep,3
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",hydr,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",hyos,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",Ign,3
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",iod,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",ip,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",kali-ar,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",Kali-c,3
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",kali-n,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",kali-p,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",Kali-s,3
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",lach,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",led,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",Lyc,3
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",mag-s,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",mang,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",meph,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",merc,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",merl,1
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",mez,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",mosch,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",mur-ac,2
2,"ANGER, irascibility",,"Mind, ANGER, irascibility",myric,1
